,document_id,document_text,entity,gold_answer
0,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Тереза Мэй,PER
1,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Ангела Меркель,PER
2,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Мишель Барнье,PER
3,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Европейский союз,ORG
4,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Консервативная партия,ORG
5,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Brexit,EVT
6,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Северная Ирландия,LOC
7,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Ирландия,LOC
8,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",Зальцбург,LOC
9,ru-11,"Переговоры о выходе Англии из ЕС зашли в тупик — Тереза Мэй. . отказалась пожать руку премьеру Англии прошла мимо Терезы Мэй , невзирая на то, что та улыбалась и протягивала ей руку. Мэй стояла рядом с группой европейских политиков, когда к ней приблизилась Меркель . Мэй усмехнулась и опустилась к Меркель, а та проигнорировала ее и подошла к президенту . Пока альтернативы не будет, переговоры не завершатся триумфом, уверена она. По мнению экспертов, неспособность английского премьера удостоверить европейских коллег принять предложение Лондона по Brexit ослабило позиции Мэй перед конференцией правящей Консервативной партии, которая должна начаться 30 сентября. По утверждению Туска, предложения Мэй не устраивают других членов ЕС перво наперво по финансовым причинам. Короткие результаты саммита состоят в том, что Тереза Мэй так и не смогла придумать решение по основной проблеме Brexit — что делать с границей между Северной Ирландией и Ирландией. Он пообещал, что без договоренности по ирландской границе ЕС не подпишет соглашения о «Брексите». Как отмечает агентство Reuters , британский фунт стерлингов во время выступления премьера значительно потерял в цене.. . Мэй сообщила , что ответ европейского союза на предложения Англии, который прозвучал в Зальцбурге в эту пятницу, был неприемлемым. Сроки принятия главных решений поджимают, а у сторон все еще нет единой позиции по последующих шагам и условиям выхода Великобритании из ЕС. Но до сих пор нечетко, удастся ли Лондону и Брюсселю до данной даты договориться об условиях «Брекзита», и что случится, ежели соглашения достигнуть не удастся. «Реакция лидеров 27 стран ЕС заключалась в том, чтобы подтвердить наше доверие основному переговорщику Мишелю Барнье и нашу позицию о целостности цельного рынка и по вопросу ирландской границы». Выход из ЕС — это крайне больной и дорогой процесс для Лондона, который чреват не только лишь беспрецедентным оттоком европейского капитала, однако и утратой значительной части торговых и финансовых привилегий, которыми страна пользуется в качестве члена ЕС.",британский фунт стерлингов,PRO
